,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,9,1,3,21,12,5,16,4,7,11,17,18,2,21,21,6,13,8,21,10,15,20,14,19,21
amazon,10,9,3,20,7,16,5,11,1,18,6,2,13,20,20,19,20,8,20,12,17,15,4,14,20
annthyroid,9,12,7,25,18,16,10,22,6,19,11,8,14,17,20,24,23,4,21,3,5,15,1,13,2
backdoor,12,16,13,20,18,18,2,14,3,17,1,11,15,20,20,10,19,8,20,4,9,5,7,5,6
breastw,1,3,7,23,2,6,22,5,8,11,19,9,4,18,25,13,21,14,24,16,15,12,20,10,17
campaign,15,10,13,21,7,14,17,12,6,19,16,9,11,21,21,20,18,5,21,4,2,1,3,8,21
cardio,6,2,5,25,4,3,8,17,9,10,7,16,1,23,22,24,18,14,21,13,12,19,11,20,15
cardiotocography,4,3,6,21,7,1,10,14,12,5,9,17,2,21,21,20,8,11,21,13,15,18,16,19,21
celeba,16,9,8,25,12,11,23,10,14,20,24,1,7,19,18,22,21,3,17,2,6,15,5,13,4
census,13,8,4,16,23,23,17,14,2,21,15,1,6,12,20,18,22,9,19,10,3,5,7,5,11
cover,17,9,13,24,16,14,2,21,8,11,1,22,12,23,20,25,18,6,19,3,4,15,5,10,7
donors,12,11,10,21,16,13,9,17,3,19,8,18,14,21,21,20,15,6,21,7,5,1,4,2,21
fault,15,12,5,14,23,19,24,17,6,20,25,8,13,1,21,16,18,11,22,9,4,2,10,3,7
fraud,7,1,8,21,12,6,9,5,2,18,13,17,3,21,21,19,20,15,21,14,4,16,10,11,21
glass,13,19,9,21,15,17,11,12,5,20,10,14,16,21,21,7,18,8,21,6,3,2,4,1,21
hepatitis,13,9,10,21,14,16,18,11,8,17,19,15,12,21,21,5,20,7,21,6,3,1,4,2,21
http,11,2,7,21,14,17,18,16,1,19,3,5,6,21,21,20,15,10,21,13,9,8,12,4,21
imdb,15,16,11,20,4,19,14,12,8,18,13,3,17,20,20,5,20,7,20,10,9,1,6,2,20
internetads,23,13,14,24,12,11,7,21,10,16,9,22,15,18,20,6,17,5,19,4,1,8,3,8,2
ionosphere,14,7,5,21,17,18,12,19,4,16,13,11,15,21,21,3,20,10,21,8,6,1,9,2,21
landsat,8,20,10,13,19,25,5,1,2,23,4,11,24,14,12,7,15,22,9,18,17,6,16,3,21
letter,17,16,15,21,12,1,2,13,14,19,3,18,20,21,21,10,5,11,21,9,7,4,8,6,21
lymphography,9,1,4,19,7,8,15,5,2,18,12,10,3,19,19,6,17,14,19,16,13,1,11,1,19
magic.gamma,10,14,11,23,19,20,6,13,8,18,7,15,17,16,24,22,21,5,25,3,2,12,4,9,1
mammography,8,5,16,24,2,1,11,15,10,4,14,23,3,20,19,25,12,17,18,13,7,22,9,21,6
mnist,12,5,4,20,23,23,3,19,1,17,2,8,7,16,22,18,15,9,21,13,14,6,10,6,11
musk,9,1,1,12,3,2,1,1,1,4,1,8,1,11,6,1,10,1,7,1,1,5,1,5,1
optdigits,11,15,10,19,20,20,3,6,5,24,2,14,16,21,23,17,18,12,22,13,7,1,8,4,9
pageblocks,17,11,2,24,18,13,3,21,6,16,1,14,15,22,23,19,20,4,25,8,10,12,7,9,5
pendigits,9,12,10,21,17,15,2,14,1,16,4,18,13,21,21,20,19,7,21,8,5,11,6,3,21
pima,5,11,7,23,17,20,10,4,3,18,14,6,8,22,25,21,19,15,24,16,9,2,13,1,12
satellite,11,14,16,25,19,23,7,1,4,17,6,15,22,24,18,13,21,12,20,10,5,2,8,3,9
satimage-2,14,4,10,25,18,19,8,17,2,15,12,1,16,24,21,20,23,5,22,13,3,9,7,6,11
shuttle,12,13,11,23,14,16,20,18,4,21,2,17,15,22,24,5,19,7,25,10,6,3,9,1,8
skin,8,7,4,21,19,18,12,13,1,14,10,9,16,21,21,17,11,2,21,3,6,20,5,15,21
smtp,11,15,13,22,10,12,17,16,9,21,8,6,19,22,22,14,18,5,22,2,7,20,3,1,4
spambase,2,10,11,24,17,18,19,14,7,15,16,13,12,22,25,20,21,4,23,6,8,3,5,1,9
