,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
aloi,16,5,6,19,13,14,1,4,8,7,2,18,3,19,19,9,16,19,17,12,11,15,10,19
amazon,6,3,6,16,5,13,13,12,5,11,13,8,9,16,16,7,2,16,1,10,15,4,14,16
annthyroid,10,9,7,24,22,20,11,21,6,16,15,12,13,18,17,23,5,19,3,4,14,1,8,2
backdoor,17,14,13,19,18,18,9,15,10,16,5,11,12,19,19,6,8,19,2,7,1,3,1,4
breastw,1,2,9,22,5,12,21,3,10,11,17,7,8,20,24,13,14,23,15,16,6,19,4,18
campaign,15,7,10,20,9,12,17,13,6,19,16,14,11,20,20,18,5,20,2,1,4,3,8,20
cardio,5,3,4,20,3,2,8,14,8,6,7,9,1,18,17,19,12,17,13,11,16,10,15,13
cardiotocography,4,3,5,19,8,1,7,10,9,6,8,17,2,19,19,16,11,19,12,14,13,15,18,19
celeba,12,1,3,22,6,5,20,7,13,15,21,4,2,18,24,19,10,23,9,14,16,8,17,11
census,18,7,5,20,22,22,21,19,4,16,17,1,6,12,15,3,10,14,13,11,2,8,2,9
cover,17,11,16,20,14,12,3,18,8,13,1,21,15,19,24,22,6,23,7,2,10,4,9,5
donors,12,14,10,20,13,11,9,19,3,16,8,18,15,20,20,17,6,20,7,5,1,4,2,20
fault,14,9,4,6,17,15,20,13,7,16,19,8,8,1,17,11,10,18,8,5,3,10,2,12
fraud,19,14,17,20,13,16,3,15,10,11,4,8,18,20,20,9,12,20,5,1,7,2,6,20
glass,15,16,9,18,12,14,10,6,8,17,11,13,14,18,18,3,5,18,7,4,2,5,1,18
hepatitis,13,9,8,19,14,18,17,11,7,15,16,12,10,19,19,4,5,19,6,2,1,3,1,19
http,10,2,7,19,15,16,18,16,1,17,3,5,6,19,19,11,12,19,14,9,8,13,4,19
imdb,14,15,8,19,12,18,11,13,17,6,13,7,16,19,19,3,5,19,10,4,1,9,2,19
internetads,21,12,13,22,11,11,7,20,10,15,8,19,14,16,18,9,5,17,4,1,6,3,6,2
ionosphere,13,4,5,19,16,18,11,17,6,15,12,10,14,19,19,2,8,19,9,7,1,9,3,19
landsat,9,11,12,10,19,23,2,5,6,15,4,7,18,14,16,8,22,13,20,21,3,17,1,24
letter,8,14,14,15,8,2,3,5,14,13,1,12,14,15,15,7,11,15,11,10,4,9,6,15
lymphography,10,1,4,18,6,8,14,5,2,17,11,9,3,18,18,7,15,18,16,13,1,12,1,18
magic.gamma,11,13,12,20,19,22,6,16,7,17,8,15,18,14,23,21,5,24,3,2,10,4,9,1
mammography,12,7,3,22,2,1,13,23,11,4,14,24,5,20,10,18,17,6,16,8,21,9,19,15
mnist,14,6,4,20,22,22,3,21,1,19,2,13,7,15,18,16,9,17,12,10,5,8,5,11
musk,9,1,1,10,4,2,1,1,1,3,1,8,1,11,6,1,1,7,1,1,5,1,5,1
optdigits,8,17,15,13,19,19,3,5,6,16,2,19,17,17,18,14,10,18,11,7,1,9,4,12
pageblocks,19,13,2,23,21,15,5,24,11,17,1,12,16,18,20,14,6,22,8,10,3,7,4,9
pendigits,8,10,11,19,16,13,2,15,1,14,4,17,12,19,19,18,7,19,9,5,7,6,3,19
pima,6,11,8,22,17,19,10,7,4,18,13,3,5,21,24,20,14,23,16,9,2,15,1,12
